need_id,request_date,category,item_description,quantity,urgency,family_id,city,state,zip_code,status,matched_date,fulfilled_date,assigned_donor_id,assigned_church_id,notes
N00216,2024-04-02,Medical,first aid,6,Medium,F0124,Birmingham,AL,35204,Closed,2024-04-03,2024-04-03,D0092,C020,
N00217,2024-02-02,Utilities,water bill,6,Medium,F0172,Atlanta,GA,30303,In Progress,2024-02-03,,D0081,C001,
N00218,2024-09-03,Food,baby formula,5,Low,F0003,Charlotte,NC,28202,In Progress,2024-09-04,,D0099,C005,
N00219,2024-02-08,Medical,medical supplies,1,Medium,F0141,Charlotte,NC,28204,Fulfilled,2024-02-08,2024-02-10,D0062,C011,
N00220,2024-08-15,School Supplies,backpack,4,High,F0031,Birmingham,AL,35204,Closed,2024-08-16,2024-08-18,D0023,C028,Urgent need for family in crisis
N00221,2024-07-30,Housing,bed,5,Low,F0024,Birmingham,AL,35205,Requested,,,,,Urgent need for family in crisis
N00222,2024-06-23,Transportation,bus pass,4,High,F0144,Birmingham,AL,35205,In Progress,2024-06-23,,D0058,C028,
N00223,2024-02-19,Childcare,crib,2,Low,F0088,Atlanta,GA,30303,Cancelled,,,,,Urgent need for family in crisis
N00224,2024-01-24,Transportation,car repair,6,Critical,F0028,Atlanta,GA,30303,Matched,2024-01-25,,D0036,C027,
N00225,2024-04-20,School Supplies,backpack,4,Low,F0163,Birmingham,AL,35205,Fulfilled,2024-04-20,2024-04-24,D0087,C004,
N00226,2024-09-12,Medical,medical supplies,5,Low,F0142,Charlotte,NC,28204,Requested,,,,,Urgent need for family in crisis
N00227,2024-12-20,Medical,first aid,6,High,F0130,Charlotte,NC,28204,Closed,2024-12-20,2024-12-22,D0033,C004,
N00228,2024-06-24,School Supplies,pencils,4,High,F0180,Birmingham,AL,35205,In Progress,2024-06-25,,D0035,C005,Urgent need for family in crisis
N00229,2024-11-15,School Supplies,notebooks,3,High,F0173,Charlotte,NC,28202,Cancelled,,,,,Urgent need for family in crisis
N00230,2024-06-29,Clothing,school clothes,6,Critical,F0173,Atlanta,GA,30305,Closed,2024-06-30,2024-07-03,D0150,C019,
N00231,2024-01-13,Utilities,electric bill,2,High,F0193,Atlanta,GA,30302,Fulfilled,2024-01-13,2024-01-13,D0014,C022,Urgent need for family in crisis
N00232,2024-12-19,Transportation,bus pass,3,Critical,F0027,Atlanta,GA,30305,In Progress,2024-12-19,,D0139,C002,Urgent need for family in crisis
N00233,2024-05-01,School Supplies,school uniforms,1,Critical,F0100,Birmingham,AL,35204,Closed,2024-05-02,2024-05-06,D0074,C023,Urgent need for family in crisis
N00234,2024-01-07,Childcare,stroller,3,Medium,F0159,Atlanta,GA,30304,Cancelled,,,,,Urgent need for family in crisis
N00235,2024-04-09,Childcare,stroller,1,Medium,F0045,Charlotte,NC,28205,In Progress,2024-04-10,,D0046,C022,
N00236,2024-10-11,Housing,furniture,3,Low,F0085,Nashville,TN,37204,In Progress,2024-10-11,,D0042,C019,Urgent need for family in crisis
N00237,2024-06-14,Clothing,winter coat,5,High,F0019,Charlotte,NC,28203,Closed,2024-06-14,2024-06-18,D0078,C016,
N00238,2024-07-31,Clothing,winter coat,2,Medium,F0170,Charlotte,NC,28203,Closed,2024-08-01,2024-08-03,D0104,C003,
N00239,2024-10-14,Transportation,bus pass,1,Low,F0172,Birmingham,AL,35203,Cancelled,,,,,
N00240,2024-07-14,School Supplies,backpack,4,High,F0139,Nashville,TN,37203,Requested,,,,,
N00241,2024-09-06,Childcare,stroller,3,Medium,F0083,Birmingham,AL,35205,Requested,,,,,
N00242,2024-11-16,Food,meal,2,Medium,F0176,Atlanta,GA,30304,Requested,,,,,Urgent need for family in crisis
N00243,2024-11-27,School Supplies,school uniforms,6,Medium,F0007,Birmingham,AL,35204,Requested,,,,,Urgent need for family in crisis
N00244,2024-01-28,Housing,bed,5,Medium,F0067,Atlanta,GA,30304,Matched,2024-01-28,,D0143,C003,
N00245,2024-01-09,Utilities,water bill,6,Low,F0194,Nashville,TN,37205,Fulfilled,2024-01-10,2024-01-10,D0031,C018,
N00246,2024-05-28,Food,food pantry items,3,Low,F0073,Atlanta,GA,30304,Cancelled,,,,,
N00247,2024-09-30,Housing,furniture,5,High,F0163,Charlotte,NC,28202,Matched,2024-09-30,,D0101,C026,
N00248,2024-03-04,Childcare,diapers,1,Critical,F0138,Charlotte,NC,28205,Requested,,,,,Urgent need for family in crisis
N00249,2024-04-18,Transportation,bus pass,2,Medium,F0158,Nashville,TN,37203,Fulfilled,2024-04-19,2024-04-20,D0132,C005,
N00250,2024-11-26,Clothing,winter coat,3,Low,F0051,Birmingham,AL,35205,Closed,2024-11-26,2024-11-26,D0075,C022,
N00251,2024-12-09,Childcare,car seat,2,Low,F0073,Charlotte,NC,28205,Cancelled,,,,,
N00252,2024-08-18,School Supplies,pencils,5,Medium,F0145,Birmingham,AL,35205,In Progress,2024-08-19,,D0079,C023,
N00253,2024-01-03,Childcare,crib,6,Critical,F0071,Charlotte,NC,28203,In Progress,2024-01-03,,D0057,C023,
N00254,2024-08-16,Childcare,crib,1,Medium,F0166,Birmingham,AL,35205,In Progress,2024-08-16,,D0125,C018,
N00255,2024-05-14,Transportation,bus pass,6,Low,F0187,Charlotte,NC,28201,Cancelled,,,,,Urgent need for family in crisis
N00256,2024-10-29,Housing,rent assistance,5,Critical,F0168,Birmingham,AL,35202,Matched,2024-10-29,,D0142,C009,
N00257,2024-03-09,School Supplies,school uniforms,3,Low,F0170,Nashville,TN,37202,Fulfilled,2024-03-10,2024-03-12,D0131,C003,Urgent need for family in crisis
N00258,2024-03-22,Clothing,shoes,2,Critical,F0092,Birmingham,AL,35201,Matched,2024-03-23,,D0145,C022,
N00259,2024-05-15,Medical,prescription assistance,2,High,F0100,Atlanta,GA,30304,In Progress,2024-05-15,,D0011,C022,Urgent need for family in crisis
N00260,2024-02-22,Housing,bed,5,High,F0190,Nashville,TN,37203,Cancelled,,,,,
N00261,2024-07-06,Clothing,baby clothes,4,Medium,F0133,Birmingham,AL,35204,Closed,2024-07-07,2024-07-09,D0020,C017,
N00262,2024-11-05,Childcare,crib,5,Medium,F0113,Birmingham,AL,35202,Requested,,,,,
N00263,2024-04-05,Transportation,bus pass,2,Critical,F0085,Charlotte,NC,28201,Matched,2024-04-06,,D0031,C022,
N00264,2024-10-29,Medical,medical supplies,2,Low,F0033,Charlotte,NC,28205,Matched,2024-10-30,,D0106,C001,
N00265,2024-01-29,Clothing,winter coat,4,Low,F0185,Charlotte,NC,28203,Matched,2024-01-29,,D0047,C017,Urgent need for family in crisis
N00266,2024-09-03,School Supplies,calculator,2,Medium,F0160,Birmingham,AL,35205,Matched,2024-09-03,,D0106,C020,
N00267,2024-04-27,Childcare,crib,2,Critical,F0039,Atlanta,GA,30305,Fulfilled,2024-04-28,2024-04-28,D0034,C004,
N00268,2024-09-29,Medical,first aid,2,Low,F0199,Atlanta,GA,30304,Closed,2024-09-29,2024-10-02,D0024,C016,
N00269,2024-04-27,Childcare,diapers,6,Low,F0109,Birmingham,AL,35202,Fulfilled,2024-04-28,2024-05-02,D0090,C019,
N00270,2024-11-02,School Supplies,backpack,6,Low,F0148,Nashville,TN,37205,Closed,2024-11-03,2024-11-03,D0066,C007,
N00271,2024-12-18,Housing,furniture,2,Critical,F0167,Charlotte,NC,28205,In Progress,2024-12-19,,D0093,C004,
N00272,2024-11-09,Utilities,heating assistance,2,Critical,F0142,Nashville,TN,37205,In Progress,2024-11-10,,D0102,C025,
N00273,2024-05-09,Childcare,stroller,6,Critical,F0189,Birmingham,AL,35202,In Progress,2024-05-10,,D0089,C025,Urgent need for family in crisis
N00274,2024-12-24,Food,meal,4,High,F0141,Birmingham,AL,35205,Matched,2024-12-24,,D0055,C017,
N00275,2024-11-21,Housing,mattress,1,Medium,F0121,Birmingham,AL,35205,Requested,,,,,
N00276,2024-07-08,Food,food pantry items,5,Low,F0186,Charlotte,NC,28204,Requested,,,,,Urgent need for family in crisis
N00277,2024-12-30,Utilities,heating assistance,4,Low,F0052,Nashville,TN,37205,Closed,2024-12-30,2025-01-01,D0045,C021,
N00278,2024-11-10,Housing,rent assistance,2,Low,F0041,Charlotte,NC,28201,Matched,2024-11-11,,D0010,C012,Urgent need for family in crisis
N00279,2024-07-26,Utilities,water bill,6,Low,F0024,Birmingham,AL,35205,Closed,2024-07-26,2024-07-30,D0133,C001,
N00280,2024-04-25,Childcare,car seat,5,Low,F0067,Nashville,TN,37202,Closed,2024-04-25,2024-04-27,D0117,C030,
N00281,2024-06-23,Food,groceries,5,High,F0138,Nashville,TN,37205,Requested,,,,,
N00282,2024-05-04,Medical,medical supplies,5,Low,F0124,Birmingham,AL,35201,In Progress,2024-05-05,,D0118,C029,
N00283,2024-12-12,Utilities,heating assistance,2,High,F0106,Charlotte,NC,28203,Cancelled,,,,,
N00284,2024-05-27,Housing,bedding,4,High,F0020,Charlotte,NC,28205,Requested,,,,,Urgent need for family in crisis
N00285,2024-04-21,Medical,medical supplies,2,Critical,F0189,Nashville,TN,37202,Closed,2024-04-21,2024-04-25,D0047,C024,
N00286,2024-04-27,School Supplies,pencils,1,Low,F0021,Charlotte,NC,28204,Matched,2024-04-27,,D0092,C005,
N00287,2024-11-13,Housing,furniture,3,Critical,F0047,Nashville,TN,37205,In Progress,2024-11-14,,D0148,C028,
N00288,2024-01-28,School Supplies,school uniforms,5,High,F0101,Charlotte,NC,28202,Closed,2024-01-29,2024-01-29,D0123,C018,
N00289,2024-12-18,Food,baby formula,1,Medium,F0098,Nashville,TN,37205,Requested,,,,,
N00290,2024-04-05,Childcare,stroller,5,High,F0094,Nashville,TN,37202,Closed,2024-04-05,2024-04-08,D0061,C009,
N00291,2024-07-05,School Supplies,calculator,2,Medium,F0026,Nashville,TN,37203,Fulfilled,2024-07-05,2024-07-08,D0116,C006,Urgent need for family in crisis
N00292,2024-03-15,Utilities,water bill,2,Critical,F0003,Charlotte,NC,28202,Cancelled,,,,,
N00293,2024-06-02,Clothing,school clothes,4,Low,F0177,Birmingham,AL,35202,In Progress,2024-06-03,,D0146,C002,
N00294,2024-08-18,Transportation,uber/lyft credit,3,High,F0093,Atlanta,GA,30303,Cancelled,,,,,
N00295,2024-07-29,Transportation,car repair,3,Medium,F0148,Atlanta,GA,30305,Requested,,,,,
N00296,2024-06-15,Clothing,school clothes,5,Critical,F0199,Nashville,TN,37204,Cancelled,,,,,Urgent need for family in crisis
N00297,2024-08-25,Utilities,heating assistance,2,Medium,F0164,Nashville,TN,37203,Cancelled,,,,,
N00298,2024-03-23,Utilities,electric bill,6,High,F0182,Atlanta,GA,30303,In Progress,2024-03-23,,D0081,C011,
N00299,2024-07-04,Utilities,water bill,5,Critical,F0106,Birmingham,AL,35202,Cancelled,,,,,
N00300,2024-12-04,Housing,mattress,2,Critical,F0027,Charlotte,NC,28201,In Progress,2024-12-06,,D0021,C007,
N00301,2024-01-14,Medical,first aid,5,Medium,F0022,Atlanta,GA,30304,Fulfilled,2024-01-15,2024-01-16,D0022,C004,
N00302,2024-11-16,School Supplies,pencils,2,Low,F0009,Birmingham,AL,35203,Matched,2024-11-16,,D0135,C027,Urgent need for family in crisis
N00303,2024-10-03,Childcare,crib,6,Medium,F0152,Birmingham,AL,35205,In Progress,2024-10-04,,D0114,C005,
N00304,2024-06-26,Utilities,heating assistance,4,High,F0094,Nashville,TN,37204,Fulfilled,2024-06-27,2024-06-27,D0059,C026,
N00305,2024-09-24,Transportation,gas card,5,Low,F0177,Atlanta,GA,30304,Matched,2024-09-24,,D0074,C016,Urgent need for family in crisis
N00306,2024-08-08,Medical,medical supplies,1,High,F0049,Atlanta,GA,30304,In Progress,2024-08-09,,D0060,C026,Urgent need for family in crisis
N00307,2024-03-24,Utilities,water bill,6,Critical,F0097,Charlotte,NC,28202,Cancelled,,,,,
N00308,2024-09-21,Utilities,heating assistance,6,High,F0106,Charlotte,NC,28202,Closed,2024-09-22,2024-09-26,D0070,C010,Urgent need for family in crisis
N00309,2024-02-26,Clothing,shoes,4,Critical,F0070,Nashville,TN,37205,Cancelled,,,,,
N00310,2024-01-26,Childcare,diapers,3,Medium,F0184,Charlotte,NC,28204,Closed,2024-01-26,2024-01-27,D0048,C004,Urgent need for family in crisis
N00311,2024-01-08,School Supplies,backpack,4,High,F0119,Charlotte,NC,28201,Fulfilled,2024-01-08,2024-01-10,D0088,C014,
N00312,2024-07-19,Clothing,winter coat,5,Critical,F0047,Nashville,TN,37202,Requested,,,,,Urgent need for family in crisis
N00313,2024-03-03,Transportation,uber/lyft credit,2,Critical,F0198,Atlanta,GA,30304,Cancelled,,,,,
N00314,2024-02-18,Housing,mattress,6,High,F0083,Birmingham,AL,35202,Closed,2024-02-19,2024-02-21,D0054,C016,
N00315,2024-05-09,Housing,rent assistance,1,Medium,F0029,Atlanta,GA,30302,Fulfilled,2024-05-10,2024-05-12,D0077,C007,
N00316,2024-05-21,Childcare,diapers,1,Low,F0149,Charlotte,NC,28204,Closed,2024-05-21,2024-05-22,D0102,C026,
N00317,2024-05-07,Clothing,school clothes,5,High,F0195,Atlanta,GA,30301,Matched,2024-05-08,,D0024,C022,
N00318,2024-09-06,Clothing,winter coat,6,High,F0113,Charlotte,NC,28202,Matched,2024-09-06,,D0143,C026,
N00319,2024-05-08,Utilities,water bill,4,Critical,F0144,Charlotte,NC,28203,Requested,,,,,
N00320,2024-10-05,Medical,prescription assistance,5,Medium,F0018,Charlotte,NC,28205,In Progress,2024-10-05,,D0120,C009,
N00321,2024-08-20,Transportation,car repair,6,Critical,F0188,Nashville,TN,37202,Requested,,,,,Urgent need for family in crisis
N00322,2024-06-13,Childcare,stroller,1,Critical,F0049,Charlotte,NC,28205,Cancelled,,,,,
N00323,2024-07-28,Clothing,school clothes,3,Low,F0025,Nashville,TN,37205,Cancelled,,,,,
N00324,2024-01-17,Housing,mattress,1,Low,F0147,Charlotte,NC,28204,Matched,2024-01-17,,D0125,C007,
N00325,2024-04-23,Transportation,gas card,2,Critical,F0021,Nashville,TN,37204,Closed,2024-04-24,2024-04-29,D0019,C001,Urgent need for family in crisis
N00326,2024-07-07,Housing,bedding,1,High,F0136,Birmingham,AL,35201,Cancelled,,,,,Urgent need for family in crisis
N00327,2024-09-22,Transportation,gas card,1,Medium,F0137,Charlotte,NC,28204,Requested,,,,,
N00328,2024-10-12,School Supplies,school uniforms,5,Critical,F0192,Charlotte,NC,28201,Cancelled,,,,,Urgent need for family in crisis
N00329,2024-02-23,Childcare,crib,5,High,F0169,Birmingham,AL,35202,Matched,2024-02-23,,D0141,C013,
N00330,2024-10-08,Medical,medical supplies,6,Critical,F0186,Nashville,TN,37203,In Progress,2024-10-09,,D0106,C025,
N00331,2024-07-03,School Supplies,calculator,1,High,F0153,Nashville,TN,37201,Fulfilled,2024-07-04,2024-07-08,D0102,C001,
N00332,2024-04-23,Transportation,gas card,6,High,F0142,Nashville,TN,37205,Matched,2024-04-23,,D0006,C025,
N00333,2024-08-23,Clothing,winter coat,3,Medium,F0060,Atlanta,GA,30303,In Progress,2024-08-23,,D0036,C009,Urgent need for family in crisis
N00334,2024-02-09,Food,baby formula,3,Critical,F0045,Charlotte,NC,28204,Cancelled,,,,,Urgent need for family in crisis
N00335,2024-10-22,Food,food pantry items,3,High,F0112,Atlanta,GA,30304,Fulfilled,2024-10-22,2024-10-26,D0015,C030,Urgent need for family in crisis
N00336,2024-11-20,Food,meal,4,Low,F0079,Atlanta,GA,30305,Cancelled,,,,,
N00337,2024-03-19,Clothing,school clothes,6,Critical,F0115,Charlotte,NC,28205,Requested,,,,,
N00338,2024-05-28,Food,meal,4,Low,F0141,Birmingham,AL,35204,Fulfilled,2024-05-28,2024-05-28,D0034,C011,
N00339,2024-12-23,Utilities,heating assistance,2,Critical,F0102,Birmingham,AL,35205,Matched,2024-12-23,,D0124,C018,
N00340,2024-05-16,School Supplies,notebooks,6,Critical,F0109,Atlanta,GA,30303,Fulfilled,2024-05-16,2024-05-17,D0148,C003,
N00341,2024-06-05,Childcare,car seat,2,Critical,F0012,Atlanta,GA,30302,Matched,2024-06-05,,D0114,C020,
N00342,2024-02-27,Childcare,wipes,1,Medium,F0159,Atlanta,GA,30302,Cancelled,,,,,Urgent need for family in crisis
N00343,2024-12-21,Transportation,gas card,3,Critical,F0121,Nashville,TN,37201,Requested,,,,,
N00344,2024-10-07,School Supplies,notebooks,6,Low,F0097,Nashville,TN,37205,Fulfilled,2024-10-08,2024-10-12,D0037,C023,Urgent need for family in crisis
N00345,2024-01-31,Housing,bedding,4,Low,F0018,Charlotte,NC,28204,In Progress,2024-01-31,,D0070,C002,
N00346,2024-05-29,Childcare,diapers,4,Medium,F0098,Atlanta,GA,30305,Cancelled,,,,,Urgent need for family in crisis
N00347,2024-11-01,Food,food pantry items,4,Low,F0011,Birmingham,AL,35202,Closed,2024-11-01,2024-11-03,D0048,C007,Urgent need for family in crisis
N00348,2024-07-20,Transportation,car repair,2,Low,F0089,Birmingham,AL,35203,Cancelled,,,,,
N00349,2024-02-01,Transportation,bus pass,3,Critical,F0008,Nashville,TN,37205,Cancelled,,,,,Urgent need for family in crisis
N00350,2024-07-20,School Supplies,notebooks,2,Low,F0187,Nashville,TN,37204,Cancelled,,,,,
N00351,2024-10-20,School Supplies,calculator,5,High,F0115,Charlotte,NC,28205,Matched,2024-10-21,,D0080,C030,
N00352,2024-06-07,Clothing,shoes,6,Medium,F0111,Charlotte,NC,28202,Cancelled,,,,,
N00353,2024-10-12,Clothing,school clothes,2,Low,F0196,Atlanta,GA,30303,Closed,2024-10-13,2024-10-15,D0031,C006,Urgent need for family in crisis
N00354,2024-08-14,Utilities,water bill,6,High,F0039,Nashville,TN,37202,Cancelled,,,,,
N00355,2024-11-06,Clothing,winter coat,2,Low,F0092,Nashville,TN,37201,Closed,2024-11-07,2024-11-08,D0060,C020,
N00356,2024-12-30,Medical,prescription assistance,3,Medium,F0100,Birmingham,AL,35204,Cancelled,,,,,
N00357,2024-01-17,Clothing,shoes,6,Medium,F0194,Charlotte,NC,28202,Fulfilled,2024-01-17,2024-01-18,D0070,C014,
N00358,2024-12-18,Medical,first aid,4,Low,F0156,Birmingham,AL,35204,In Progress,2024-12-19,,D0064,C014,Urgent need for family in crisis
N00359,2024-09-23,Utilities,heating assistance,4,Critical,F0011,Atlanta,GA,30302,Requested,,,,,
N00360,2024-10-12,Utilities,heating assistance,4,Critical,F0078,Atlanta,GA,30303,Fulfilled,2024-10-13,2024-10-15,D0013,C007,
N00361,2024-12-19,Utilities,water bill,4,Low,F0185,Atlanta,GA,30305,Closed,2024-12-19,2024-12-22,D0119,C027,
N00362,2024-06-14,Clothing,baby clothes,6,Medium,F0117,Birmingham,AL,35201,Fulfilled,2024-06-14,2024-06-17,D0046,C015,
N00363,2024-02-28,Clothing,winter coat,4,High,F0022,Atlanta,GA,30305,Cancelled,,,,,Urgent need for family in crisis
N00364,2024-01-23,Clothing,baby clothes,6,Medium,F0042,Birmingham,AL,35202,Matched,2024-01-23,,D0145,C028,
N00365,2024-06-07,Housing,furniture,4,High,F0161,Nashville,TN,37202,Cancelled,,,,,
N00366,2024-11-14,Clothing,shoes,4,Low,F0156,Atlanta,GA,30304,In Progress,2024-11-14,,D0118,C016,
N00367,2024-08-14,Medical,medical supplies,5,Low,F0063,Birmingham,AL,35205,Requested,,,,,
N00368,2024-03-16,School Supplies,backpack,6,High,F0010,Charlotte,NC,28202,Requested,,,,,Urgent need for family in crisis
N00369,2024-01-26,Transportation,car repair,4,Medium,F0042,Atlanta,GA,30303,Requested,,,,,
N00370,2024-01-19,Clothing,baby clothes,3,High,F0095,Nashville,TN,37204,Requested,,,,,Urgent need for family in crisis
N00371,2024-05-29,Utilities,heating assistance,3,High,F0135,Atlanta,GA,30304,Fulfilled,2024-05-29,2024-06-03,D0032,C023,
N00372,2024-02-25,School Supplies,school uniforms,6,High,F0110,Atlanta,GA,30305,Closed,2024-02-26,2024-02-29,D0136,C003,Urgent need for family in crisis
N00373,2024-11-10,Transportation,car repair,4,Critical,F0047,Charlotte,NC,28205,Closed,2024-11-11,2024-11-14,D0134,C024,
N00374,2024-03-01,Transportation,bus pass,4,Low,F0189,Atlanta,GA,30302,Requested,,,,,Urgent need for family in crisis
N00375,2024-06-19,Utilities,water bill,6,Medium,F0177,Atlanta,GA,30303,In Progress,2024-06-20,,D0055,C001,
N00376,2024-09-16,Food,food pantry items,3,High,F0102,Nashville,TN,37205,Closed,2024-09-16,2024-09-20,D0002,C004,
N00377,2024-06-18,Housing,mattress,4,Low,F0166,Charlotte,NC,28202,In Progress,2024-06-19,,D0123,C030,
N00378,2024-08-24,Medical,first aid,3,High,F0143,Nashville,TN,37205,Fulfilled,2024-08-26,2024-08-28,D0015,C027,
N00379,2024-03-17,Childcare,car seat,6,Medium,F0147,Atlanta,GA,30305,In Progress,2024-03-17,,D0087,C013,
N00380,2024-12-29,Food,food pantry items,3,Critical,F0023,Nashville,TN,37204,Requested,,,,,Urgent need for family in crisis
N00381,2024-04-20,Childcare,crib,1,Medium,F0024,Nashville,TN,37204,Closed,2024-04-20,2024-04-22,D0045,C004,
N00382,2024-04-07,Medical,first aid,3,Medium,F0197,Charlotte,NC,28201,In Progress,2024-04-08,,D0135,C010,Urgent need for family in crisis
N00383,2024-08-23,Clothing,shoes,3,Low,F0176,Atlanta,GA,30305,Fulfilled,2024-08-24,2024-08-24,D0134,C004,Urgent need for family in crisis
N00384,2024-02-22,Childcare,crib,3,Medium,F0083,Atlanta,GA,30302,Closed,2024-02-23,2024-02-26,D0080,C001,
N00385,2024-12-09,Transportation,car repair,3,Medium,F0041,Birmingham,AL,35203,Requested,,,,,
N00386,2024-10-08,Food,meal,3,Medium,F0044,Nashville,TN,37201,In Progress,2024-10-08,,D0037,C023,
N00387,2024-01-26,Childcare,stroller,6,Low,F0028,Birmingham,AL,35204,Matched,2024-01-26,,D0121,C029,
N00388,2024-12-26,Utilities,water bill,3,High,F0051,Charlotte,NC,28205,Closed,2024-12-27,2024-12-29,D0115,C020,
N00389,2024-02-17,Medical,first aid,4,Low,F0117,Charlotte,NC,28203,Cancelled,,,,,
N00390,2024-04-24,Medical,medical supplies,3,Critical,F0047,Charlotte,NC,28203,Matched,2024-04-25,,D0067,C030,Urgent need for family in crisis
N00391,2024-01-16,Childcare,crib,4,Low,F0090,Birmingham,AL,35204,Requested,,,,,
N00392,2024-11-05,Clothing,school clothes,6,Low,F0084,Nashville,TN,37205,Closed,2024-11-05,2024-11-07,D0131,C004,
N00393,2024-10-29,Transportation,uber/lyft credit,4,Critical,F0017,Birmingham,AL,35203,Fulfilled,2024-10-29,2024-10-30,D0063,C018,
N00394,2024-10-05,Utilities,water bill,2,Medium,F0170,Nashville,TN,37201,Cancelled,,,,,Urgent need for family in crisis
N00395,2024-06-15,Medical,prescription assistance,4,Low,F0154,Birmingham,AL,35201,Closed,2024-06-15,2024-06-16,D0114,C006,
N00396,2024-11-26,Utilities,water bill,1,Low,F0056,Birmingham,AL,35202,Cancelled,,,,,Urgent need for family in crisis
N00397,2024-08-19,Housing,mattress,4,Medium,F0053,Charlotte,NC,28203,Closed,2024-08-19,2024-08-22,D0100,C020,
N00398,2024-02-15,Transportation,uber/lyft credit,2,High,F0016,Nashville,TN,37203,Closed,2024-02-15,2024-02-19,D0131,C013,Urgent need for family in crisis
N00399,2024-02-26,Housing,bed,6,Critical,F0161,Nashville,TN,37203,In Progress,2024-02-26,,D0061,C014,Urgent need for family in crisis
N00400,2024-10-06,Utilities,water bill,2,Medium,F0143,Birmingham,AL,35204,Matched,2024-10-07,,D0045,C016,Urgent need for family in crisis
N00401,2024-05-27,Childcare,crib,2,Medium,F0003,Charlotte,NC,28201,Cancelled,,,,,
N00402,2024-03-10,Clothing,baby clothes,2,Critical,F0117,Birmingham,AL,35205,Requested,,,,,Urgent need for family in crisis
N00403,2024-10-09,Clothing,baby clothes,4,Low,F0148,Birmingham,AL,35204,Fulfilled,2024-10-10,2024-10-11,D0091,C008,Urgent need for family in crisis
N00404,2024-07-29,School Supplies,school uniforms,5,Critical,F0181,Nashville,TN,37203,Closed,2024-07-30,2024-07-30,D0094,C002,
N00405,2024-03-13,Medical,first aid,6,High,F0120,Atlanta,GA,30305,Cancelled,,,,,
N00406,2024-11-18,Food,meal,6,Low,F0176,Birmingham,AL,35205,Cancelled,,,,,Urgent need for family in crisis
N00407,2024-09-30,Transportation,gas card,4,Critical,F0132,Nashville,TN,37204,Requested,,,,,
N00408,2024-05-30,Childcare,crib,5,High,F0187,Nashville,TN,37205,In Progress,2024-05-30,,D0010,C023,
N00409,2024-10-20,Medical,first aid,6,High,F0189,Charlotte,NC,28205,Requested,,,,,
N00410,2024-09-15,Medical,prescription assistance,3,High,F0034,Charlotte,NC,28205,Requested,,,,,
N00411,2024-11-05,Transportation,gas card,4,High,F0045,Atlanta,GA,30303,Matched,2024-11-06,,D0039,C022,Urgent need for family in crisis
N00412,2024-09-27,School Supplies,calculator,3,Low,F0038,Charlotte,NC,28205,Requested,,,,,Urgent need for family in crisis
N00413,2024-07-15,Clothing,baby clothes,6,Medium,F0054,Birmingham,AL,35205,Matched,2024-07-16,,D0113,C024,Urgent need for family in crisis
N00414,2024-02-29,Childcare,diapers,2,Critical,F0103,Nashville,TN,37204,Requested,,,,,
N00415,2024-08-30,School Supplies,calculator,4,Low,F0074,Birmingham,AL,35204,In Progress,2024-08-30,,D0136,C028,
N00416,2024-02-19,Childcare,stroller,5,High,F0086,Atlanta,GA,30303,Closed,2024-02-20,2024-02-23,D0091,C028,
N00417,2024-08-24,Food,food pantry items,6,Medium,F0188,Birmingham,AL,35205,Cancelled,,,,,Urgent need for family in crisis
N00418,2024-10-07,Childcare,wipes,6,Low,F0018,Nashville,TN,37201,Requested,,,,,
N00419,2024-04-22,Food,baby formula,3,High,F0050,Nashville,TN,37201,Cancelled,,,,,
N00420,2024-11-02,Food,groceries,1,Low,F0023,Charlotte,NC,28205,Cancelled,,,,,
N00421,2024-05-09,Clothing,winter coat,4,High,F0197,Charlotte,NC,28204,In Progress,2024-05-10,,D0020,C021,
N00422,2024-02-07,Childcare,car seat,3,Low,F0067,Charlotte,NC,28203,In Progress,2024-02-07,,D0098,C013,
N00423,2024-11-08,Food,baby formula,5,Critical,F0056,Charlotte,NC,28205,Fulfilled,2024-11-08,2024-11-09,D0126,C004,
N00424,2024-02-22,Medical,first aid,1,Low,F0147,Nashville,TN,37203,Requested,,,,,Urgent need for family in crisis
N00425,2024-11-30,Housing,furniture,1,Low,F0171,Charlotte,NC,28204,Cancelled,,,,,
N00426,2024-09-20,Childcare,crib,4,Critical,F0112,Atlanta,GA,30304,Cancelled,,,,,Urgent need for family in crisis
N00427,2024-07-15,Food,meal,4,Low,F0146,Atlanta,GA,30305,Cancelled,,,,,Urgent need for family in crisis
N00428,2024-07-24,Childcare,car seat,6,Low,F0094,Nashville,TN,37205,Requested,,,,,Urgent need for family in crisis
N00429,2024-05-28,Childcare,diapers,2,Medium,F0142,Birmingham,AL,35201,Cancelled,,,,,Urgent need for family in crisis
N00430,2024-02-24,School Supplies,pencils,6,High,F0125,Birmingham,AL,35201,Cancelled,,,,,Urgent need for family in crisis
N00431,2024-03-12,Medical,first aid,2,Low,F0185,Charlotte,NC,28205,Requested,,,,,
N00432,2024-09-12,Utilities,electric bill,1,High,F0185,Nashville,TN,37201,Closed,2024-09-13,2024-09-15,D0005,C002,
N00433,2024-12-13,School Supplies,school uniforms,1,Low,F0189,Birmingham,AL,35202,Closed,2024-12-13,2024-12-18,D0149,C008,
N00434,2024-05-04,Housing,furniture,6,Medium,F0004,Atlanta,GA,30302,Cancelled,,,,,
